"","Code","Division.Name","Region","Division.NBCT.Count","Division.Perc","FY22.Avg.Salary","Educ.Expend","Expend.Per.Capita","Total.Expend","Median.Household.Income","Elementary.Teaching.Positions","End.of.Year.Average.Daily.Membership.K.7","Pupil.Teacher.Ratio.K.7","Secondary.Teaching.Positions","End.of.Year.Average.Daily.Membership.8.12","Pupil.Teacher.Ratio.8.12","Teaching.Postions","District.Type","Income.cat","District.Perc.NBCT"
"74",78,"Rappahannock County","Northern Virginia",0,0,62662,"15224614",2071.94,"27905619",98663,42.1,396.18931,9.41,36,278.9322,7.75,78.1,"1","Upper Middle Class",0
"75",79,"Richmond County","Northern Neck",0,0,56468,"19286808",2161.47,"32352787",62708,61.57,777.82285,12.63,33.09,399.91998,12.09,94.66,"1","Middle Class",0
"76",80,"Roanoke County","Western Virginia",7,0.003981797,53580,"184842888",1906.99,"329467624",80872,660.21,7756.7588,11.75,492.87,5584.49933,11.33,1153.08,"1","Middle Class",0.00607069760987963
"77",81,"Rockbridge County","Valley",1,0.000568828,53730,"39270087",1733.78,"81771903",61903,149.57,1264.84892,8.46,91.05,1150.22159,12.63,240.62,"1","Middle Class",0.00415593051284182
"78",82,"Rockingham County","Valley",5,0.002844141,54540,"167107426",1995.15,"262436144",73232,551.56,6565.62361,11.9,364.44,3649.81025,10.01,916,"1","Middle Class",0.00545851528384279
"79",83,"Russell County","Southwest Virginia",1,0.000568828,43101,NA,NA,NA,44088,160.35,1832.31654,11.43,118.93,1348.0555,11.33,279.28,"1","Lower Middle Class",0.00358063592093956
"80",84,"Scott County","Southwest Virginia",0,0,51289,"59629916",2763.72,"89731560",44535,206,2226.35177,10.81,132,1568.0502,11.88,338,"1","Lower Middle Class",0
"81",85,"Shenandoah County","Northern Virginia",5,0.002844141,56039,"86552891",1958.83,"144561921",62149,291.04,3151.54782,10.83,157.27,2195.06773,13.96,448.31,"1","Middle Class",0.0111529968102429
"82",86,"Smyth County","Southwest Virginia",1,0.000568828,48709,"56079733",1881.87,"105813313",45061,215.62,2259.92724,10.48,149.35,1535.88824,10.28,364.97,"1","Lower Middle Class",0.00273995122886813
"83",87,"Southampton County","Tidewater",2,0.001137656,50617,"39657583",2203.69,"66013023",67813,108.5,1462.8896,13.48,62.57,913.11056,14.59,171.07,"1","Middle Class",0.0116911205939089
"84",88,"Spotsylvania County","Northern Neck",17,0.00967008,57720,"317546659",2267.67,"504980564",105068,946.33,13813.05855,14.6,649.28,9527.75052,14.67,1595.61,"1","Upper Middle Class",0.0106542325505606
"85",89,"Stafford County","Northern Neck",36,0.020477816,62008,"379526533",2418.49,"571764263",128036,1270.19,17772.87323,13.99,809.68,12514.15166,15.46,2079.87,"1","Upper Middle Class",0.0173087741060739
"86",90,"Surry County","Central Virginia",0,0,57919,"18175315",2770.2,"36823439",68655,28.4,391.05751,13.77,54.8,248.83915,4.54,83.2,"1","Middle Class",0
"87",91,"Sussex County","Central Virginia",0,0,56640,"22305487",2059.79,"42385716",59195,52.91,552.75146,10.45,40.95,372.23704,9.09,93.86,"1","Middle Class",0
"88",92,"Tazewell County","Southwest Virginia",0,0,48159,"69820714",1727,"132096110",46508,209,3120.02762,14.93,155.9,2082.04397,13.35,364.9,"1","Lower Middle Class",0
"89",93,"Warren County","Northern Virginia",1,0.000568828,59921,"70886691",1740.53,"129325127",79313,234.65,2855.70003,12.17,166.74,2027.95145,12.16,401.39,"1","Middle Class",0.0024913425845188
"90",94,"Washington County","Southwest Virginia",2,0.001137656,57209,"94544561",1752.94,"157697743",59116,316.49,3811.98885,12.04,239.55,2583.49439,10.78,556.04,"1","Middle Class",0.00359686353499748
