Code,Division Name,Region,Division NBCT Count,Division Perc,Type of District,FY22 Avg Salary,Educ Expend,Expend Per Capita,Total Expend,Median Household Income,Number of Schools
113,Harrisonburg,Valley,5,0.002844141,2,59664,98736842,1801.44,189553742,56050,10
114,Hopewell,Central Virginia,0,0,2,56762,.,.,.,50661,5
115,Lynchburg,Valley,0,0,2,51675,124092210,1543.53,302531703,56243,16
116,Martinsville,Western Virginia,4,0.002275313,2,61861,28438520,2108.9,70300127,39127,4
117,Newport News,Tidewater,25,0.014220705,2,61861,427562644,2295.68,819556798,63355,38
118,Norfolk,Tidewater,17,0.00967008,2,63851,428523990,1800.48,1029856460,60998,41
119,Norton,Southwest Virginia,0,0,2,54238,.,.,.,36974,2
120,Petersburg,Central Virginia,0,0,2,52791,.,.,.,46930,6
121,Portsmouth,Tidewater,3,0.001706485,2,57486,188188642,1921.96,388169294,57154,19
122,Radford,Southwest Virginia,1,0.000568828,2,54165,29470909,1674.1,68622407,51039,4
123,Richmond,Central Virginia,40,0.022753129,2,55361,483438090,2133.35,1248394883,59606,40
124,Roanoke,Western Virginia,13,0.007394767,2,59871,246453230,2464.26,490486559,51523,24
126,Staunton,Valley,1,0.000568828,2,56182,44826726,1740.84,99532823,59731,5
127,Suffolk,Tidewater,4,0.002275313,2,64482,196474347,2082.97,409260176,87758,19
128,Virginia Beach,Tidewater,133,0.075654152,2,64011,969785089,2110.66,1829313735,87544,81
130,Waynesboro,Valley,2,0.001137656,2,52894,49466787,2228.64,97447909,52519,6
131,Williamsburg-James City County,Tidewater,51,0.029010239,2,68955,13833991,863.71,47954330,66815,16
132,Winchester,Northern Virginia,1,0.000568828,2,55468,72984806,2595.48,149139595,62495,7
135,Franklin,Tidewater,0,0,2,56270,19944694,2438.23,45609535,57537,2
136,Chesapeake,Tidewater,23,0.013083049,2,56270,614867430,2465.17,1039464839,92703,45
137,Lexington,Valley,1,0.000568828,2,50277,8151497,1089.92,22674406,93651,2
139,Salem,Western Virginia,24,0.013651877,2,62718,54861941,2164.52,"114,442,598",68402,6
142,Poquoson,Tidewater,3,0.001706485,2,55716,27473966,2204.97,47546312,114503,4
143,Manassas,Northern Virginia,9,0.005119454,2,74788,123823195,2894.96,209113020,110559,10
144,Manassas Park,Northern Virginia,3,0.001706485,2,66761,49060656,2849.22,81395430,91673,4
202,Colonial Beach,Northern Neck,0,0,3,48617,"9,886,808",2529.89,16026629,,2
207,West Point,Northern Neck,1,0.000568828,3,49796,11834057,3466.33,16190012,,2
